file ,text_A,text_B,Question_1,Question_2,Reason_no_question
Get_a_Quality_Girlfriend.txt,"WHat woman does not like fit , energetic , happy guys ?","What woman does not like fit , energetic , happy men ?",,,
Create_a_C_Program_That_Tells_if_a_Number_Is_Even_or_Odd.txt ,In the bracket type int number ; this is a type integer .,In the braket type in int number ; this is a type integer .,,,
Harvest_Hemp.txt ,Hold the top of the stem with your hands and slice through the top of the stems with your sickle .,"Hold the top of the stem with your hands and slice through it with your sickle 
just below the lowest seed husk .",,,
Design_a_Bedroom_for_Teens.txt ,"You can then use that information to get merchandise off well-known websites like eBay , Craigslist , or Amazon .","You can then use that information to get merchandise off well-known websites
 like eBay , Craigslist , and Amazon .",,,
Choose_the_Perfect_Light_Bulb_for_Your_Lighting_Fixture.txt ,HMI – Single Ended Quartz Arc Tube,"HMI – Single Ended Quartz Arc Tube * * Infrared Energy Efficient Products 
( IRC , HIR )",,,
Make_a_Pringles_Can_Macro_Diffuser.txt ,"There are other chips that come in a can , just make sure it is reflective inside and fairly similar to the Pringles version .","If you want to use other chip brands that come in a can , just make sure it is 
reflective inside and fairly similar to the Pringles version .",,,
Relearn_Listening_to_Your_Spouse.txt ,Remember that respect is the most important thing in a relationship .,"Remember that respect is the most important thing in a relationship and 
that listening forms a large part of respect .",,,
Pick_a_Lock_with_a_Soda_Can.txt ,Push it down and then pull the lock up .,Push the shim down and then pull the lock up .,,,
Handle_an_Aggressive_Autistic_Child.txt ,"Mistreatment : Abuse , adults being mean or punitive , adults stopping them from stimming , adults punishing them for autistic behavior or training them to act non-autistic ( e.g. in some forms of ABA )","Mistreatment : Abuse , people being mean or punitive , people punishing 
them for autistic behavior or training them to act non-autistic
 ( e.g. in some forms of ABA )",,,
Make_a_Paper_Rocket.txt ,"To draw a triangle , all you have to do is draw a 2 inch vertical with your ruler , and then a 1 inch horizontal line from it 's base , and connect the opposite ends with a diagonal line .","To draw a triangle , all you have to do is draw a 2 inch vertical with your ruler , 
and then a 1-inch horizontal line from its base , and connect the opposite 
ends with a diagonal line .",,,
Reset_an_Heirloom_Stone.txt ,"Gemstones should not be able to move when they sit in a ring , so it better to be safe than sorry - especially when dealing with heirlooms and wedding jewelry .","No matter the reason , gemstones should not be able to move when they sit
 in a ring , so it better to be safe than sorry - especially when dealing 
with heirlooms and wedding jewelry .",,,
Stay_Awake_at_Night.txt,Take a nap beforehand .,Take a nap beforehand if possible .,,,
Celebrate_Christmas_in_Spain.txt,Attend the Copa Nadal if you 're in Barcelona .,Swim in the Copa Nadal if you 're in Barcelona .,,,
Organize_Pokémon_Cards.txt,"Just find out what order your sets came out in ( Base , Jungle , Fossil .. ) and then order all of the cards by their set number .","Just find out what order your sets came out in ( Base , Jungle , Fossil . )",,,
Open_WMV_Files_on_a_Mac.txt ,"If it is not installed , click here to download it .","If it is not installed , click here to buy it .",,,
Make_Your_Guy_Friend_Want_to_Date_You.txt ,Try asking indirectly at first .,Try asking him on a date indirectly at first .,,,
Harvest_a_Coconut.txt ,"Either way , take your time and be extremely careful .",Take your time and be extremely careful .,,,
Make_Popcorn_Waffles.txt,The reason why this done is to help bring the oil at a correct temperature .,The reason why this is done is to help bring the oil at a correct temperature .,,,
Do_Leg_Lifts.txt,How to Do a Girl Push Up,How to Do a Modified ( Abridged ) Push Up,,,
Treat_Valley_Fever.txt,Recognize those at high risk .,Recognize those at high risk for a severe case of valley fever .,,,
File_for_Unemployment_in_Oklahoma.txt,"Make sure that you have hard copies of your documents , as you may be required to present them during the filing process .",You may be required to present them during the filing process .,,,
Add_an_RSS_Feed_to_Twitter.txt,""" Twitter will then direct you back to Twitter Feed with a green bar at the top of the page that reads , "" Twitter auth successful . """,""" Twitter will then direct you back to Twitter Feed with a green 
bar at the top of the page that reads , "" Twitter authentication successful . """,,,
"Install,_Configure,_and_Test_Certificate_Services_in_a_Windows_Server_2012_R2_Domain.txt","Verify Windows Server 2012 R2 IP address , subnet mask , and DNS 172.16.150.10 , 255.255.255.0 , 172.16.150.10 .","Verify Windows 7 IP address , subnet mask , and Primary 
DNS 172.16.150.15 , 255.255.255.0 , 172.16.150.10 .",,,
Sneak_Your_iPod_Into_PE.txt,you might get in trouble,You may get in trouble .,,,
Care_for_Baby_Goats.txt,But do n't forget to add three spoons of corn syrup to each gallon .,"However , per gallon of cow milk , remember to add three spoons of corn syrup .",,,
Remove_Sharpie_Marks_from_Finished_Wood_Surfaces.txt,The balloons deflated overnight on the table and the sharpie ink transferred off the balloons onto the table and soaked in .,"Some balloons colored with sharpies deflated overnight on our finished kitchen
 table and the sharpie ink transferred off the balloons onto the table and soaked in .",,,
Restore_Cast_Iron_Pans.txt,"Never pour water over lye , which causes an intense reaction .","Never pour water over lye , which causes it to boil up .",,,
Make_a_Seal.txt,"d ) For better result , use wet sandpaper and grind with water .","For better result , use wet sandpaper and grind with water .",,,
Split_and_Store_Your_Bath_Bombs.txt,"You need only a flat-head screwdriver 
and a hammer to split your bath bombs .","Best of all , you only need only a flat-head screwdriver and a hammer 
to split them !",,,
Draw_All_of_the_Legendary_Pokémon.txt,Draw a sea if you want for the background .,Draw a place with a volcano if you want for the background .,,,
"""Dust""_Hair.txt","When you see a split end , then move on to Step Five .","When you see a split end , then move on to to the next step .",,,
Update_Your_Computer's_BIOS.txt,Any Fsizable fluctuatiASFASon or loSAf power FSAFwn or reset a PC when flashing the BIOS .,"Therefore , never power down or reset a PC when flashing the BIOS .",,,
Grill_Corn_on_the_Cob.txt,"Preheat your barbecue grill to a medium high heat , about .","Preheat your grill to a medium-high heat , about .",,,
Throw_a_Three_Fingered_Splitter.txt ,"First , grip the ball in horseshoe and make sure the horseshoe is up-side-down .","First , grip the baseball in horseshoe and make sure the horseshoe is up-side-down .",,,
Avoid_Bad_Relationships.txt,"This is not a healthy way to view a relationship , and is an excellent sign that the relationship needs to end .","This is not a healthy way to think , and is an excellent sign that the relationship
 needs to end .",,,
Make_Peanut_Butter_and_Raspberry_Jam_Cupcakes.txt ,Spray a cupcake tin with non-stick greasing spray or place cupcake cupcake cases into each section of the tray .,"Spray a cupcake tin with non-stick greasing spray or place cupcake cases 
into each section of the tray .",,,
Have_a_Gay_Friend.txt,He or she has enough to deal with already .,He has enough to deal with already .,,,
Reduce_Concussion_Risk_for_Wrestlers.txt,"Along with this , learn how to avoid getting hit in the head .",The wrestlers should learn how to avoid getting hit in the head .,,,
Set_up_a_Gerbilarium.txt,"Males can live together in groups of two , and females can live in groups of up to three or four .","Females can live together in groups of two , and males can live in groups of up to three or four .",,,
Host_a_Hotel_Slumber_Party.txt,) Choose your guests - Who do you want to invite ?,Who do you want to invite ?,,,
Watch_the_Draconids_Meteor_Shower.txt,Look north and search for seven stars that make up a bowl with a handle .,Look north and search for 7 stars that make up a bowl with a handle .,,,
Clean_Your_Carpets.txt,"vacuum your rug , once over is good enough , and start from a corner .","Once over is good enough , and start from a corner .",,,
Dress_Like_Nicki_Minaj.txt,"Although she occasionally has worn wavy hair , she is usually seen with stick straight hair .","Although she occasionally has worn wavy hair , Minaj is usually seen with 
stick straight hair .",,,
