Wear always protective equipment including helmets , kneepads and others .	['VB', 'RB', 'JJ', 'NN', 'VBG', 'NNS', ',', 'NNS', 'CC', 'NNS', '.']	[('root', 0), ('advmod', 3), ('amod', 4), ('obj', 1), ('case', 6), ('nmod', 4), ('punct', 8), ('conj', 6), ('cc', 10), ('conj', 6), ('punct', 1)]
Always Wear protective equipment including helmets , kneepads and others .	['RB', 'VB', 'JJ', 'NN', 'VBG', 'NNS', ',', 'NNS', 'CC', 'NNS', '.']	[('advmod', 2), ('root', 0), ('amod', 4), ('obj', 2), ('case', 6), ('nmod', 4), ('punct', 8), ('conj', 6), ('cc', 10), ('conj', 6), ('punct', 2)]

Smooth it out and take your screw driver and rub against the edge of the board to get the grit off of it so it will make a guideline for cutting .	['VB', 'PRP', 'RP', 'CC', 'VB', 'PRP$', 'NN', 'NN', 'CC', 'VB', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', 'IN', 'IN', 'PRP', 'IN', 'PRP', 'MD', 'VB', 'DT', 'NN', 'IN', 'VBG', '.']	[('root', 0), ('obj', 1), ('compound:prt', 1), ('cc', 5), ('conj', 1), ('nmod:poss', 8), ('compound', 8), ('obj', 5), ('cc', 10), ('conj', 1), ('case', 13), ('det', 13), ('obl', 10), ('case', 16), ('det', 16), ('nmod', 13), ('mark', 18), ('advcl', 10), ('det', 20), ('obj', 18), ('case', 23), ('case', 23), ('obl', 18), ('mark', 27), ('nsubj', 27), ('aux', 27), ('advcl', 18), ('det', 29), ('obj', 27), ('mark', 31), ('acl', 29), ('punct', 1)]
! ! ! ) and take your screw driver and rub against the edge of the board to get the grit off of it so it will make a guideline for cutting .	['.', '.', '.', '-RRB-', 'CC', 'VB', 'PRP$', 'NN', 'NN', 'CC', 'VB', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', 'IN', 'IN', 'PRP', 'IN', 'PRP', 'MD', 'VB', 'DT', 'NN', 'IN', 'VBG', '.']	[('punct', 6), ('punct', 6), ('punct', 6), ('punct', 6), ('cc', 6), ('root', 0), ('nmod:poss', 9), ('compound', 9), ('obj', 6), ('cc', 11), ('conj', 6), ('case', 14), ('det', 14), ('obl', 11), ('case', 17), ('det', 17), ('nmod', 14), ('mark', 19), ('advcl', 11), ('det', 21), ('obj', 19), ('case', 24), ('case', 24), ('obl', 19), ('mark', 28), ('nsubj', 28), ('aux', 28), ('advcl', 19), ('det', 30), ('obj', 28), ('mark', 32), ('acl', 30), ('punct', 6)]

Having advanced credentials and experience can help you one day if you decide to start your own business .	['VBG', 'JJ', 'NNS', 'CC', 'NN', 'MD', 'VB', 'PRP', 'CD', 'NN', 'IN', 'PRP', 'VBP', 'TO', 'VB', 'PRP$', 'JJ', 'NN', '.']	[('csubj', 7), ('amod', 3), ('obj', 1), ('cc', 5), ('conj', 3), ('aux', 7), ('root', 0), ('obj', 7), ('nummod', 10), ('obl:tmod', 7), ('mark', 13), ('nsubj', 13), ('advcl', 7), ('mark', 15), ('xcomp', 13), ('nmod:poss', 18), ('amod', 18), ('obj', 15), ('punct', 7)]
Advanced credentials and experience can help you one day if you decide to start your own business .	['JJ', 'NNS', 'CC', 'NN', 'MD', 'VB', 'PRP', 'CD', 'NN', 'IN', 'PRP', 'VBP', 'TO', 'VB', 'PRP$', 'JJ', 'NN', '.']	[('amod', 2), ('nsubj', 6), ('cc', 4), ('conj', 2), ('aux', 6), ('root', 0), ('obj', 6), ('nummod', 9), ('obl:tmod', 6), ('mark', 12), ('nsubj', 12), ('advcl', 6), ('mark', 14), ('xcomp', 12), ('nmod:poss', 17), ('amod', 17), ('obj', 14), ('punct', 6)]

Plate an irregularly-shaped piece of cast iron bolted to the back of the frame .	['VB', 'DT', 'RB', 'HYPH', 'VBN', 'NN', 'IN', 'NN', 'NN', 'VBN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']	[('root', 0), ('det', 6), ('advmod', 5), ('punct', 5), ('amod', 6), ('obj', 1), ('case', 9), ('compound', 9), ('nmod', 6), ('acl', 6), ('case', 13), ('det', 13), ('obl', 10), ('case', 16), ('det', 16), ('nmod', 13), ('punct', 1)]
Plate : An irregularly-shaped piece of cast iron bolted to the back of the frame .	['NN', ':', 'DT', 'RB', 'HYPH', 'VBN', 'NN', 'IN', 'NN', 'NN', 'VBN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']	[('root', 0), ('punct', 1), ('det', 7), ('advmod', 6), ('punct', 6), ('amod', 7), ('appos', 1), ('case', 10), ('compound', 10), ('nmod', 7), ('acl', 7), ('case', 14), ('det', 14), ('obl', 11), ('case', 17), ('det', 17), ('nmod', 14), ('punct', 1)]

Get a quality piano but do not buy the most expensive .	['VB', 'DT', 'NN', 'NN', 'CC', 'VB', 'RB', 'VB', 'DT', 'RBS', 'JJ', '.']	[('root', 0), ('det', 4), ('compound', 4), ('obj', 1), ('cc', 8), ('aux', 8), ('advmod', 8), ('conj', 1), ('det', 11), ('advmod', 11), ('xcomp', 8), ('punct', 1)]
Or get a quality piano but do not buy the most expensive .	['CC', 'VB', 'DT', 'NN', 'NN', 'CC', 'VB', 'RB', 'VB', 'DT', 'RBS', 'JJ', '.']	[('cc', 9), ('root', 0), ('det', 5), ('compound', 5), ('obj', 2), ('cc', 9), ('aux', 9), ('advmod', 9), ('conj', 2), ('det', 12), ('advmod', 12), ('xcomp', 9), ('punct', 2)]

Remember , you are not someone else 's tool .	['VB', ',', 'PRP', 'VBP', 'RB', 'NN', 'JJ', 'POS', 'NN', '.']	[('root', 0), ('punct', 1), ('nsubj', 9), ('cop', 9), ('advmod', 9), ('nmod:poss', 9), ('amod', 6), ('case', 6), ('ccomp', 1), ('punct', 1)]
You are not someone else 's tool .	['PRP', 'VBP', 'RB', 'NN', 'JJ', 'POS', 'NN', '.']	[('nsubj', 7), ('cop', 7), ('advmod', 7), ('nmod:poss', 7), ('amod', 4), ('case', 4), ('root', 0), ('punct', 7)]

Thought do n't be afraid of asking your crush !	['VBD', 'VB', 'RB', 'VB', 'JJ', 'IN', 'VBG', 'PRP$', 'NN', '.']	[('root', 0), ('aux', 5), ('advmod', 5), ('cop', 5), ('ccomp', 1), ('mark', 7), ('advcl', 5), ('nmod:poss', 9), ('obj', 7), ('punct', 1)]
Though do n't be afraid of asking your crush !	['RB', 'VB', 'RB', 'VB', 'JJ', 'IN', 'VBG', 'PRP$', 'NN', '.']	[('advmod', 5), ('aux', 5), ('advmod', 5), ('cop', 5), ('root', 0), ('mark', 7), ('advcl', 5), ('nmod:poss', 9), ('obj', 7), ('punct', 5)]

Do n't be cocky because it will turn your seller off and tell him you know nothing about what you are talking about .	['VB', 'RB', 'VB', 'JJ', 'IN', 'PRP', 'MD', 'VB', 'PRP$', 'NN', 'RP', 'CC', 'VB', 'PRP', 'PRP', 'VBP', 'NN', 'IN', 'WP', 'PRP', 'VBP', 'VBG', 'IN', '.']	[('aux', 4), ('advmod', 4), ('cop', 4), ('root', 0), ('mark', 8), ('nsubj', 8), ('aux', 8), ('advcl', 4), ('nmod:poss', 10), ('obj', 8), ('compound:prt', 8), ('cc', 13), ('conj', 8), ('iobj', 13), ('nsubj', 16), ('ccomp', 13), ('obj', 16), ('case', 19), ('nmod', 17), ('nsubj', 22), ('aux', 22), ('acl:relcl', 19), ('obl', 22), ('punct', 4)]
However , do n't be cocky , it will turn your seller off and tell him you know nothing about what you are talking about .	['RB', ',', 'VB', 'RB', 'VB', 'JJ', ',', 'PRP', 'MD', 'VB', 'PRP$', 'NN', 'RP', 'CC', 'VB', 'PRP', 'PRP', 'VBP', 'NN', 'IN', 'WP', 'PRP', 'VBP', 'VBG', 'IN', '.']	[('advmod', 6), ('punct', 6), ('aux', 6), ('advmod', 6), ('cop', 6), ('root', 0), ('punct', 6), ('nsubj', 10), ('aux', 10), ('parataxis', 6), ('nmod:poss', 12), ('obj', 10), ('compound:prt', 10), ('cc', 15), ('conj', 10), ('iobj', 15), ('nsubj', 18), ('ccomp', 15), ('obj', 18), ('case', 21), ('nmod', 19), ('nsubj', 24), ('aux', 24), ('acl:relcl', 21), ('obl', 24), ('punct', 6)]

Search the federal Supreme Court website for cases that have made it to the Supreme Court level .	['VB', 'DT', 'JJ', 'NNP', 'NNP', 'NN', 'IN', 'NNS', 'WDT', 'VBP', 'VBN', 'PRP', 'IN', 'DT', 'NNP', 'NNP', 'NN', '.']	[('root', 0), ('det', 6), ('amod', 6), ('compound', 5), ('compound', 6), ('obj', 1), ('case', 8), ('obl', 1), ('nsubj', 11), ('aux', 11), ('acl:relcl', 8), ('obj', 11), ('case', 17), ('det', 17), ('compound', 16), ('compound', 17), ('obl', 11), ('punct', 1)]
For cases that have made it to the Supreme Court level , visit the federal Supreme Court website .	['IN', 'NNS', 'WDT', 'VBP', 'VBN', 'PRP', 'IN', 'DT', 'NNP', 'NNP', 'NN', ',', 'VB', 'DT', 'JJ', 'NNP', 'NNP', 'NN', '.']	[('case', 2), ('obl', 13), ('nsubj', 5), ('aux', 5), ('acl:relcl', 2), ('obj', 5), ('case', 11), ('det', 11), ('compound', 10), ('compound', 11), ('obl', 5), ('punct', 13), ('root', 0), ('det', 18), ('amod', 18), ('compound', 17), ('compound', 18), ('obj', 13), ('punct', 13)]

Buy plenty of water bottles .	['VB', 'NN', 'IN', 'NN', 'NNS', '.']	[('root', 0), ('obj', 1), ('case', 5), ('compound', 5), ('nmod', 2), ('punct', 1)]
