,Source,Target
0,Matured goats should be dehorned by a veterinarian .,Matured goats should only be dehorned by a veterinarian .
1,Get all this stuff done early .,Get all this done early .
2,"Press the "" End "" key on the phone to go back to your main menu .","Press the "" End "" key on your phone to go back to the main menu ."
3,"Add 6 Tbs of sugar , coconut oil , caraway seeds , and 1 and half Tablespoon of salt to the bowl .","Add 6 Tbs of sugar , coconut oil , caraway seeds , and 1 and 1 / 2 Tablespoon of salt to the bowl ."
4,Take the Dough out oft the mixing tool called the hook and give him another handmixing till he is constant in structure and no riffs and airbubbles in the dough .,Take the Dough out oft the mixing tool called the hook and give it another handmixing till it is constant in structure and no riffs and air bubbles in the dough .
5,try to find some really juicy news like say like ( name ) broke her arm ! did you know that ! ?,try to find some really juicy news like say ( name ) broke her arm ! did you know that ! ?
6,wear natural looking makeup .,Apply natural looking makeup .
7,Screw in the trucks very tightly .,Screw the trucks in very tightly .
8,Do n't be a b * tch .,Do n't be a bully .
9,Having a therapist does n't mean you 're weak or crazy .,Having a therapist does n't mean you 're weak .
10,Do n't feel bad if you do n't have a boyfriend .,Do n't feel bad if you do n't have a partner .
11,Use pieces of masking tape to tack down the blueprint of the side of your bridge .,Use pieces of masking tape to tack down the drawing of the side of your bridge .
12,"Use the blue print you 've created , and lay each strip of wood where it needs to be on the drawing .","Use the drawing you 've created , and lay each strip of wood where it needs to be on the drawing ."
13,Choose the prepaid credit card you want to buy .,Decide which prepaid credit card you want to buy .
14,Look for a display rack in the store that displays the cards .,Look for a display rack in the store that holds the cards .
15,Deduct the amount of the check from your available balance on your register .,Deduct the amount of the check from your available balance in the register .
16,"Think about where you plan or might like to travel , the dates you would like to go , if you just want to book flights or maybe a package deal .","Think about where you plan or might like to travel , the dates you would like to go , if you just want to book flights or a package deal ."
17,Play at least 5 games 5 times .,Play at least five games five times .
18,dont lay your binder on the floor cause it will scratch,Do n't lay your binder on the floor because it might scratch
19,Do not rub with your fingers cause the marker will fade if you rub enough,Do not rub with your fingers because the marker will fade if you rub too hard
20,"Talk to them about things they like ( e.g. Mickey Mouse , Reading , Movies )","Talk to them about things they like ( e.g. Mickey Mouse , reading , movies , etc."
21,"Take an experienced pianist with you when you go shopping , and ask for their feelings about each piano .","Take an experienced pianist with you when you go shopping , and ask for their opinions about each piano ."
22,"Buy a piano that is most used by music institutions , such as conservatories and universities .",Buy a piano that is often used by music institutions such as conservatories and universities .
23,"Do not economize or bargain hunt unless you are an expert , especially if you 're buying it for a child who is starting lessons .","Do not economize or bargain hunt unless you are an expert , especially if you 're buying it for a child who is just starting lessons ."
24,Listen carefully hear that each piano can have a different sound .,Listen carefully to hear that each piano does have a different sound .
25,Visit many showrooms as each showroom sells different named pianos .,Visit several showrooms as each showroom sells different named pianos .
26,"Buying a piano , or , what is refered to as a traditional accoustic piano , is not something that is purchased without a specific need or use .","Buying a piano , or , is refered to as a traditional accoustic piano , is not something that is purchased without a specific need or use ."
27,Starting a child on piano lessons would need a less expensive ' upright ' until they show a talent and desire to continue learning .,Starting a child on piano lessons would require a less expensive ' upright ' until they show a talent and desire to continue learning .
28,Do n't be scared .,Do n't be afraid .
29,Give your child alone time .,Give your child options .
30,hold it in your hand and speak softly to it .,Hold he / she in your hand and speak softly to it .
31,Hold he / she in your hand and speak softly to it .,Hold her / him in your hand and speak softly to them .
32,Click on the Accounts from the left panel .,Click on the Accounts button from the left panel .
33,Select your account from the search results .,Select your account from the results .
34,bring purses or small ones,Bring purses or small purses .
35,Do n't be mean .,Do n't be a pussy .
36,Take part in a lot of school activities .,Take part in a lot of school activities or clubs .
37,Do n't be a bully .,Do n't be a show off
38,Do n't be mean .,Do n't be a show off
39,Do n't brag about yourself and do n't interfere with people with anger problems .,Do n't brag about yourself and do n't interfere with people that have anger problems .
40,Make sure your baby has lated on correctly .,Make sure your baby latches on correctly .
41,Feed your baby as soon as she starts to get fussy or close to her normal feeding time to avoid sore nipples .,Feed your baby as soon as they start to get fussy or close to their normal feeding time to avoid sore nipples .
42,Try to do this while she is nursing by pressing on your baby 's shoulder lightly to bring her closer to you .,Try to do this while they are nursing by pressing on your baby 's shoulder lightly to bring their closer to you .
43,Know if you have recurrent infections .,Determine if you have recurrent infections .
44,Go to http://my.roku.com/ in a web browser .,Go to https://play.google.com/ in a web browser .
45,"Remember our values is what makes us "" tick "" .","Remember , our values are what makes us "" tick "" ."
46,Treat your employees well .,Treat your employees equally .
47,Make people feel good about what they do .,Make people feel good about what they cml ; amv
48,Make people feel good about what they cml ; amv,Make people feel good about what they .
49,Do n't submit to a casting call unless you know you can be there and stay for the duration of the shoot .,Do n't apply to a casting call unless you know you can be there and stay for the duration of the shoot .
50,Arrive early to figure out your way around the location and make a good first impression .,Arrive early to find your way around the location and make a good first impression .
51,Taking pictures is often forbidden and cameras will be confiscated .,Taking pictures is forbidden and cameras will be confiscated .
52,Sounds weird but it works and they 'll have energy again to amuse their selfs .,Sounds weird but it works and they 'll have energy again to amuse themselves .
53,ask for name favorite things .,Ask about his favorite things .
54,"Do n't say "" Rips Off Shirt And Shows Muscles On Body ! "" that WILL get you banned , and Zuko would never say that .","Do n't say "" Rips Off Shirt And Shows Muscles On Body ! "" that WILLt NOT get you banned , and Zuko would never say that ."
55,"Do n't say "" Rips Off Shirt And Shows Muscles On Body ! "" that WILL NOT get you banned , and Zuko would never say that .","Do n't say "" Rips Off Shirt And Shows Muscles On Body ! "" that WILL NOT get you banned , and Zuko would say that ."
56,"Do n't say "" Rips Off Shirt And Shows Muscles On Body ! "" that WILL NOT get you banned , and Zuko would say that .","Do n't say "" Rips Off Shirt And Shows Muscles On Body ! "" that WILL get you banned , and Zuko would not say that ."
57,"Do n't get too stressed out , or you wo n't succeed .","Do n't get too stressed out , or else you wo n't succeed ."
58,"Do this until the wood is smooth , flat , and even , and there is no left over finish .","Do this until the wood is smooth , flat , and even , and there is no left over finish / paint ."
59,Pour in the middle and let it level .,Pour in the middle and let it self-level .
60,Pour the epoxy glaze coat mixture over the top of the table .,Pour some of the epoxy glaze coat mixture over the top of the table .
61,Replace the soil monthly and remove old food pieces weekly .,Replace the soil weekly and remove old food pieces weekly .
62,Feed your vegetables and fruits .,Feed your slug vegetables and fruits .
63,Make sure to sift through soil before adding it to your aquarium to remove any other bugs .,Make sure to sift through soil before adding it to your aquarium to remove any bugs .
64,"Dont wear trousers , there silly , for scene kids .","Do n't wear trousers , they 're silly , for scene kids ."
65,"Do n't forget black eyeliner , and indie style hair bows .","Do n't forget black eyeliner , and indie style hair bows / bands ."
66,"Dont bend the rules too much , you culd get into trouble .","Dont bend the rules too much , you could get you into trouble ."
67,Remove the opportunity for the fake friend .,Remove the benefit for the fake friend .
68,Make sure you really want to end this friendship .,Make sure you want to end this friendship .
69,Are you wondering how to be as beautiful as you can be ?,Are you wondering how to be as pretty as you can be ?
